L,W,mean_r,sem_r,mean_ipr,sem_ipr,n_valid
8,0.1,0.4498238868750907,0.003148608279032479,0.04941235389310532,0.00019279415353277247,50
8,0.5214285714285715,0.5185118427893385,0.00804634000358093,0.04554378473891597,0.00041472367852914664,50
8,0.9428571428571428,0.5302699404359992,0.00782469835514756,0.04581171781606069,0.0004532729802229576,50
8,1.3642857142857143,0.5210958526596637,0.008047171959509328,0.051102778697679485,0.0009466965206140345,50
8,1.7857142857142858,0.5227660944621296,0.007086521862029043,0.06044313878690251,0.001623510709041374,50
8,2.2071428571428573,0.5135188937528352,0.008458421314835088,0.07125113173891409,0.002318288287382679,50
8,2.6285714285714286,0.4903386644574382,0.00807044139130754,0.08521517897906172,0.0031011595836837264,50
8,3.0500000000000003,0.483436408306225,0.007587269960467675,0.10236528205015837,0.0036912520894521587,50
8,3.4714285714285715,0.46461768314813007,0.00735617094221554,0.12403410767267924,0.0048238450628519955,50
8,3.892857142857143,0.4747964771330215,0.008335426394443358,0.14349680562690925,0.0055122676557732226,50
8,4.314285714285714,0.45566217552301863,0.008281990642844086,0.16406961952544094,0.0058124431607496545,50
8,4.735714285714286,0.45908310419906023,0.008679030328390975,0.18616950740498633,0.006248490385522955,50
8,5.157142857142857,0.4464792177418039,0.007943263155797015,0.20607273570880602,0.00735118366649617,50
8,5.578571428571428,0.4313096017246684,0.007997997666998137,0.23209666693484368,0.008466967682372288,50
8,6.0,0.42448162183462945,0.007716925847928007,0.24788478078150877,0.009818329920884843,50
